RK,NAME,GP,SH,G,GFA,A,PTS,GA,GAA,SH%,SHPG,CK,SV,SO,YC,RC
1,"	Randolph-Macon","	7","	119","	18","	2.57","	16","	52","	10","	1.41","	.151","	17.0","	61","	24","	3","	16","	0"
2,"	Lynchburg","	8","	132","	20","	2.50","	15","	55","	6","	0.73","	.152","	16.5","	54","	21","	4","	10","	1"
2,"	Randolph","	7","	111","	16","	2.29","	10","	42","	8","	1.11","	.144","	15.9","	54","	22","	1","	11","	0"
4,"	Virginia Wesleyan","	7","	133","	10","	1.43","	10","	30","	13","	1.72","	.075","	19.0","	50","	34","	1","	12","	0"
5,"	Washington and Lee","	6","	139","	16","	2.67","	9","	41","	4","	0.64","	.115","	23.2","	44","	14","	3","	5","	0"
6,"	Hampden-Sydney","	7","	112","	15","	2.14","	13","	43","	6","	0.86","	.134","	16.0","	39","	24","	2","	9","	1"
7,"	Guilford","	6","	91","	9","	1.50","	4","	22","	10","	1.61","	.099","	15.2","	34","	37","	2","	7","	1"
8,"	Roanoke","	5","	71","	6","	1.20","	1","	13","	5","	0.88","	.085","	14.2","	31","	17","	3","	6","	0"
9,"	Bridgewater","	9","	99","	8","	0.89","	7","	23","	17","	1.77","	.081","	11.0","	30","	34","	1","	6","	0"
9,"	Shenandoah","	8","	95","	9","	1.13","	8","	26","	14","	1.64","	.095","	11.9","	30","	39","	2","	15","	1"
11,"	Ferrum","	6","	93","	7","	1.17","	5","	19","	5","	0.80","	.075","	15.5","	24","	24","	2","	25","	3"
12,"	Eastern Mennonite","	9","	81","	4","	0.44","	1","	9","	23","	2.49","	.049","	9.0","	23","	74	","	1","	8","	0"
13,"	Emory & Henry","	6","	13","	2","	0.33","	0","	4","	23","	3.83","	.154","	2.2","	10","	46","	0","	5","	0"
